player_id,long_name,short_name,nationality,height_cm,last_edition
247257,Roger Ibañez Da Silva,Ibañez,Brazil,185,24
255253,Vítor Machado Ferreira,Vitinha,Portugal,172,24
224158,Sofyan Amrabat,S. Amrabat,Morocco,185,24
228813,Aleix García Serrano,Aleix García,Spain,173,24
229880,Aaron Wan-Bissaka,A. Wan-Bissaka,England,183,24
231936,Benjamin White,B. White,England,185,24
231943,Richarlison de Andrade,Richarlison,Brazil,184,24
234742,Harvey Lewis Barnes,H. Barnes,England,185,24
240679,Teun Koopmeiners,T. Koopmeiners,Netherlands,183,24
220901,David Raya Martin,David Raya,Spain,183,24
221087,Pau López Sabata,Pau López,Spain,189,24
226491,Kieran Tierney,K. Tierney,Scotland,180,24
227813,Oleksandr Zinchenko,O. Zinchenko,Ukraine,175,24
237942,Pervis Josué Estupiñán Tenorio,P. Estupiñán,Ecuador,175,24
210897,Chancel Mbemba Mangulu,C. Mbemba,Congo DR,182,24
211300,Anthony Martial,A. Martial,France,184,24
221660,Victor Jörgen Nilsson Lindelöf,V. Lindelöf,Sweden,187,24
221697,Ollie Watkins,O. Watkins,England,180,24
222028,Julian Weigl,J. Weigl,Germany,186,24
223550,Jonas Omlin,J. Omlin,Switzerland,190,24
226162,Emiliano Buendía,E. Buendía,Argentina,172,24
226221,Aritz Elustondo Irribaria,Aritz Elustondo,Spain,180,24
228941,André Miguel Valente da Silva,André Silva,Portugal,185,24
232665,Mauro Wilney Arambarri Rosa,M. Arambarri,Uruguay,175,24
236632,David Neres Campos,David Neres,Brazil,175,24
238896,Eduardo Gabriel Aquino Cossa,Pepê,Brazil,173,24
255565,三笘 薫,K. Mitoma,Japan,178,24
138956,Giorgio Chiellini,G. Chiellini,Italy,187,24
146536,Jesús Navas González,Jesús Navas,Spain,172,24
169416,Carlos Alberto Vela Garrido,C. Vela,Mexico,177,24
170368,Erik Lamela,E. Lamela,Argentina,181,24
173426,Simon Luc Hildebert Mignolet,S. Mignolet,Belgium,193,24
174543,Claudio Andrés Bravo Muñoz,C. Bravo,Chile,184,24
176550,David Ospina Ramírez,D. Ospina,Colombia,183,24
178086,Antonio Adán Garrido,Adán,Spain,190,24
181291,Georginio Gregion Emile Wijnaldum,G. Wijnaldum,Netherlands,175,24
182494,Néstor Fernando Muslera Micol,F. Muslera,Uruguay,190,24
183711,Jordan Henderson,J. Henderson,England,187,24
184200,Marko Arnautović,M. Arnautović,Austria,192,24
184344,Leonardo Bonucci,L. Bonucci,Italy,190,24
184392,Matteo Darmian,M. Darmian,Italy,183,24
187598,Rafael Tolói,Rafael Tolói,Italy,185,24
188567,Pierre-Emerick Emiliano François Aubameyang,P. Aubameyang,Gabon,187,24
189271,Francis Coquelin,F. Coquelin,France,176,24
190149,Óscar de Marcos Arana,De Marcos,Spain,182,24
193082,Juan Guillermo Cuadrado Bello,J. Cuadrado,Colombia,179,24
193165,Jesús Manuel Corona Ruíz,J. Corona,Mexico,173,24
193198,Nemanja Gudelj,N. Gudelj,Serbia,187,24
193698,Oliver Baumann,O. Baumann,Germany,187,24
197061,Joël Andre Job Matip,J. Matip,Cameroon,194,24
197781,Francisco Román Alarcón Suárez,Isco,Spain,176,24
